,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,Deaths
1001,55639.0,23697.0,21559.0,12611.0,736.0,5029.0,4273.0,4345.0,8490.0,13143.0,9658.0,1608.0,363.0,14479.0,918.0,4313.0,339.0,1167.0,578.0,41810.0,7100.0,10849.0,1601.0,649.0,155.0,0.0,1124.0,101.0,155.0
1003,218289.0,116747.0,84047.0,36413.0,4027.0,19350.0,14823.0,20501.0,44716.0,46993.0,30615.0,3317.0,1593.0,37334.0,19513.0,11893.0,1280.0,2627.0,2954.0,218607.0,24453.0,19027.0,9947.0,2033.0,1327.0,10.0,4250.0,740.0,584.0
1005,25026.0,12057.0,9322.0,8965.0,649.0,2305.0,4497.0,2362.0,4777.0,5222.0,4159.0,1029.0,433.0,13694.0,170.0,3644.0,350.0,1039.0,2910.0,27133.0,6249.0,11889.0,1110.0,122.0,81.0,1.0,334.0,157.0,106.0
1007,22374.0,9237.0,7259.0,5730.0,667.0,1580.0,3056.0,1878.0,3676.0,4584.0,3748.0,790.0,75.0,5724.0,228.0,2943.0,91.0,481.0,1657.0,18799.0,3839.0,4971.0,600.0,56.0,12.0,0.0,85.0,0.0,78.0
1009,57755.0,24404.0,21205.0,13624.0,1253.0,4060.0,6838.0,5746.0,10382.0,13372.0,8564.0,1313.0,801.0,7690.0,167.0,6043.0,385.0,1077.0,564.0,42172.0,8987.0,771.0,5362.0,236.0,49.0,55.0,1038.0,179.0,198.0
1011,10173.0,4591.0,3429.0,4128.0,139.0,695.0,1700.0,1025.0,1638.0,2279.0,1203.0,499.0,150.0,8011.0,73.0,1919.0,33.0,418.0,433.0,7990.0,3174.0,6980.0,824.0,137.0,0.0,0.0,68.0,2.0,37.0
1013,19726.0,10119.0,6649.0,6133.0,551.0,1383.0,1886.0,1973.0,4092.0,4401.0,3067.0,500.0,59.0,9601.0,114.0,2349.0,72.0,359.0,320.0,18138.0,4683.0,8773.0,290.0,261.0,66.0,0.0,211.0,0.0,59.0
1015,114324.0,53722.0,44572.0,30323.0,3769.0,9451.0,11787.0,11260.0,20245.0,24769.0,22943.0,2972.0,754.0,32275.0,1977.0,8364.0,547.0,2270.0,2979.0,118672.0,18425.0,23669.0,4406.0,919.0,168.0,327.0,2610.0,176.0,521.0
1017,33427.0,16985.0,13582.0,9277.0,548.0,2932.0,4140.0,3045.0,6530.0,6946.0,6113.0,895.0,111.0,15014.0,1432.0,2281.0,974.0,1000.0,558.0,27035.0,6618.0,13372.0,843.0,368.0,81.0,9.0,267.0,74.0,103.0
1019,26035.0,16631.0,10836.0,6662.0,444.0,1968.0,3288.0,2458.0,5969.0,5003.0,4315.0,385.0,275.0,2256.0,250.0,4208.0,151.0,343.0,274.0,20542.0,4306.0,1250.0,432.0,26.0,150.0,0.0,398.0,0.0,90.0
1021,44147.0,19897.0,17140.0,12061.0,1153.0,3169.0,5485.0,5145.0,7318.0,10560.0,8873.0,1093.0,719.0,8864.0,184.0,6453.0,455.0,662.0,429.0,35796.0,8385.0,4268.0,3423.0,195.0,11.0,0.0,797.0,170.0,155.0
1023,12755.0,7410.0,5330.0,3749.0,306.0,814.0,1603.0,1273.0,2948.0,2548.0,3263.0,427.0,25.0,5555.0,56.0,2480.0,52.0,366.0,171.0,11450.0,3623.0,5393.0,69.0,25.0,7.0,0.0,61.0,0.0,57.0
1025,23866.0,12813.0,9323.0,8251.0,1075.0,2042.0,2904.0,2275.0,4745.0,5162.0,4551.0,756.0,22.0,11395.0,154.0,3392.0,177.0,820.0,357.0,24116.0,7325.0,10909.0,140.0,109.0,18.0,0.0,172.0,47.0,109.0
1027,13285.0,6832.0,5153.0,3685.0,305.0,863.0,1756.0,1108.0,2706.0,2735.0,2499.0,481.0,9.0,2602.0,32.0,1514.0,59.0,287.0,236.0,11233.0,2805.0,2035.0,410.0,33.0,0.0,0.0,119.0,5.0,57.0
1029,14952.0,6859.0,5835.0,4017.0,198.0,1068.0,1877.0,1791.0,3074.0,3370.0,3029.0,220.0,81.0,1107.0,22.0,1991.0,80.0,354.0,175.0,11257.0,3327.0,394.0,380.0,1.0,21.0,0.0,297.0,14.0,57.0
1031,52238.0,23313.0,19951.0,12810.0,1266.0,3903.0,5158.0,5331.0,8860.0,12352.0,8902.0,1785.0,555.0,15870.0,282.0,3227.0,444.0,1046.0,600.0,49326.0,6856.0,8538.0,4011.0,842.0,468.0,0.0,1969.0,42.0,193.0
1033,54957.0,26727.0,21797.0,12779.0,979.0,5033.0,5590.0,3723.0,10900.0,11500.0,9577.0,1326.0,377.0,12081.0,629.0,2394.0,105.0,1064.0,444.0,59236.0,11981.0,8817.0,1591.0,282.0,299.0,57.0,1003.0,32.0,182.0
1035,12219.0,7203.0,4585.0,4249.0,339.0,651.0,1328.0,1263.0,2771.0,2547.0,2773.0,313.0,0.0,6102.0,55.0,2179.0,20.0,437.0,43.0,11437.0,3874.0,5872.0,59.0,70.0,20.0,0.0,81.0,0.0,59.0
1037,10696.0,6615.0,4016.0,2478.0,109.0,696.0,1394.0,713.0,2497.0,1763.0,2430.0,148.0,40.0,3772.0,32.0,2069.0,121.0,90.0,391.0,7134.0,2165.0,3451.0,137.0,0.0,23.0,0.0,93.0,68.0,40.0
