ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population"
AK,665479.0,280993.0,234549.0,60594.0,27979.0,421946.0,32171.0,57911.0,170469.0,70028.0,23860.0,225046.0,10055.0,22797.0,14087.0,12480.0,17443.0,18822.0,115677.0,667744.0,729.0,109.54515469308573
AL,4817678.0,2190638.0,1842174.0,889710.0,228716.0,1385449.0,524368.0,699261.0,1117918.0,764700.0,184791.0,1611090.0,59335.0,149879.0,298914.0,33597.0,119315.0,116606.0,640276.0,4935865.0,12461.0,258.6515744721835
AR,2947036.0,1329139.0,1132488.0,549303.0,115090.0,1491162.0,306199.0,442175.0,709557.0,482953.0,112918.0,768845.0,44503.0,82953.0,170483.0,28248.0,72003.0,81350.0,455936.0,2918651.0,7581.0,257.2415131678066
AZ,6561516.0,2874548.0,2387246.0,1169309.0,304067.0,315392.0,604392.0,974487.0,1620492.0,767091.0,239993.0,2826663.0,320856.0,332467.0,303983.0,106496.0,164029.0,147867.0,1050638.0,6194018.0,10805.0,164.6723104843454
CA,38048506.0,13763868.0,12610452.0,6113874.0,2083427.0,1519069.0,4601156.0,4615383.0,9208677.0,3849407.0,1241146.0,23155890.0,3779374.0,2310811.0,517537.0,1038931.0,984673.0,815162.0,6263748.0,37697027.0,58177.0,152.90219279569087
CO,5119672.0,2186845.0,1966426.0,654603.0,216392.0,1259417.0,326947.0,601360.0,1219859.0,517072.0,171152.0,1578946.0,159514.0,355066.0,90091.0,50372.0,113325.0,112544.0,699502.0,5002433.0,6809.0,132.99680135758697
CT,3592053.0,1490381.0,1356206.0,364740.0,186587.0,293381.0,257011.0,531079.0,795085.0,376276.0,125157.0,1083693.0,134460.0,180292.0,11819.0,25714.0,123437.0,119520.0,301810.0,3612183.0,7018.0,195.37573638250885
DC,633736.0,300798.0,267415.0,109378.0,38496.0,46502.0,49099.0,71723.0,107989.0,69310.0,24495.0,409552.0,12559.0,137158.0,123.0,8607.0,96855.0,40211.0,40009.0,1025057.0,1324.0,208.91980256763068
DE,917060.0,411250.0,339046.0,107101.0,39819.0,85623.0,74267.0,141082.0,204516.0,109238.0,33384.0,326842.0,19835.0,40848.0,37202.0,5689.0,21841.0,25015.0,81122.0,963663.0,1921.0,209.47375308049635
FL,19361792.0,9051851.0,7217508.0,3159259.0,1024905.0,1554842.0,1837056.0,3518560.0,4020977.0,2492469.0,657978.0,8403112.0,1172071.0,1741954.0,828603.0,200451.0,512040.0,429335.0,3730582.0,18688206.0,44511.0,229.89091092394753
GA,9877108.0,4099287.0,3529201.0,1773463.0,518025.0,3102527.0,954042.0,1133504.0,2480957.0,1168302.0,386899.0,4446778.0,280783.0,417170.0,375236.0,85397.0,242212.0,260925.0,1769261.0,9765913.0,17054.0,172.66187633060204
HI,1392631.0,524765.0,450253.0,153740.0,46285.0,111708.0,88209.0,211635.0,306588.0,148118.0,32342.0,1074256.0,62213.0,126948.0,781.0,39581.0,39004.0,43723.0,89868.0,1384872.0,2527.0,181.45510188987606
IA,3078116.0,1348151.0,1232228.0,373867.0,89414.0,2595394.0,178072.0,469978.0,725392.0,344894.0,104111.0,375472.0,44220.0,122791.0,51463.0,18561.0,70171.0,99767.0,247162.0,3111499.0,6615.0,214.90418164877477
