ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths
AK,684320.0,289352.0,238344.0,68841.0,25157.0,453526.0,30621.0,72701.0,172482.0,79424.0,22310.0,251106.0,10513.0,22628.0,13731.0,14344.0,18849.0,19268.0,90956.0,635879.0,756.0
AL,4864680.0,2244462.0,1860269.0,829400.0,147898.0,1545880.0,470043.0,783832.0,1098793.0,780618.0,171668.0,1667950.0,48517.0,161672.0,298206.0,32038.0,115360.0,118799.0,477474.0,4582635.0,13473.0
AR,2990671.0,1362040.0,1152175.0,510337.0,75774.0,1683205.0,276029.0,487536.0,705943.0,505899.0,112168.0,816822.0,44593.0,87160.0,167156.0,30795.0,73619.0,84212.0,265434.0,2843651.0,8171.0
AZ,6946685.0,2970935.0,2524300.0,1092192.0,210214.0,351891.0,613002.0,1158320.0,1633783.0,885094.0,233649.0,3120799.0,316488.0,345302.0,311084.0,113062.0,160011.0,156005.0,748306.0,5994239.0,12455.0
CA,39147614.0,14083091.0,12965136.0,5486914.0,1321423.0,1832157.0,4475478.0,5315164.0,9073416.0,4089448.0,1157336.0,24452456.0,3597437.0,2418022.0,520229.0,1065023.0,939016.0,819443.0,3280049.0,33504181.0,62542.0
CO,5460965.0,2303257.0,2084859.0,582178.0,137481.0,1458394.0,318550.0,728172.0,1247330.0,567566.0,161518.0,1738060.0,155735.0,384469.0,93268.0,54985.0,107508.0,117965.0,434580.0,4876207.0,7295.0
CT,3581504.0,1512305.0,1367374.0,348449.0,125909.0,328170.0,235826.0,587580.0,752625.0,389051.0,116440.0,1162808.0,128979.0,188025.0,11734.0,25400.0,121241.0,114842.0,196809.0,3230273.0,7205.0
DC,684498.0,311545.0,281322.0,109497.0,29373.0,53321.0,45805.0,81712.0,121737.0,79612.0,23501.0,436441.0,15964.0,144039.0,230.0,10155.0,99637.0,39620.0,27088.0,748988.0,1295.0
DE,949495.0,428251.0,357765.0,109798.0,28501.0,97930.0,67482.0,167129.0,203426.0,115314.0,31471.0,353872.0,17951.0,42838.0,35356.0,5900.0,21698.0,25051.0,56491.0,906022.0,2030.0
FL,20598139.0,9348689.0,7621760.0,2983851.0,622978.0,1771375.0,1769489.0,4064376.0,4148552.0,2720957.0,653221.0,9401282.0,1271573.0,1805211.0,837333.0,229353.0,493915.0,431638.0,2744513.0,18267541.0,47027.0
GA,10267949.0,4227624.0,3699750.0,1602153.0,321987.0,3574243.0,900417.0,1348291.0,2494891.0,1240394.0,383498.0,4809230.0,269761.0,457274.0,378218.0,84049.0,244425.0,256676.0,1386004.0,9420002.0,18945.0
HI,1421954.0,538961.0,456735.0,137509.0,32036.0,129921.0,80687.0,245943.0,306497.0,153853.0,30418.0,1107434.0,63619.0,132174.0,1076.0,41377.0,37569.0,44019.0,55622.0,1153965.0,2570.0
IA,3132499.0,1386722.0,1256855.0,353634.0,65216.0,2912145.0,166709.0,513312.0,730032.0,358366.0,105146.0,436611.0,48024.0,131917.0,51765.0,20664.0,71845.0,100084.0,152469.0,3000918.0,7185.0
ID,1653899.0,686474.0,606115.0,225359.0,36729.0,889962.0,100734.0,247291.0,431592.0,216957.0,47569.0,296139.0,31945.0,40433.0,56316.0,15993.0,23954.0,29664.0,179253.0,1543601.0,3080.0
IL,12816450.0,5344804.0,4828079.0,1634965.0,436970.0,2859128.0,964325.0,1893926.0,2925431.0,1381616.0,416415.0,4927063.0,512822.0,772371.0,131418.0,121584.0,522744.0,297848.0,928413.0,11380090.0,25746.0
IN,6631539.0,2867838.0,2551305.0,908009.0,180897.0,2440536.0,502083.0,994852.0,1573161.0,898944.0,243529.0,1362070.0,92192.0,227092.0,138821.0,44675.0,166406.0,187626.0,596207.0,6244087.0,14526.0
KS,2841871.0,1232266.0,1097403.0,342938.0,64147.0,2170210.0,169568.0,424235.0,698872.0,359508.0,94086.0,681686.0,58894.0,104002.0,52600.0,23340.0,59923.0,78788.0,249391.0,2718622.0,5674.0
KY,4435363.0,1971942.0,1726661.0,771193.0,128241.0,2749212.0,428943.0,690517.0,1010965.0,757541.0,155971.0,675827.0,42662.0,126099.0,236300.0,33684.0,128480.0,131080.0,265190.0,4155971.0,10688.0
LA,4663616.0,2045554.0,1736021.0,878394.0,149850.0,1509253.0,471960.0,676707.0,1108474.0,684512.0,190128.0,1919351.0,64214.0,148728.0,268310.0,40670.0,145958.0,129395.0,487112.0,4380576.0,11340.0
MA,6830193.0,2882739.0,2601914.0,710305.0,203464.0,563114.0,454360.0,1078224.0,1379897.0,785431.0,208383.0,1899781.0,295529.0,438272.0,23508.0,51282.0,323287.0,250640.0,189470.0,6252945.0,12036.0
MD,6003435.0,2437740.0,2192518.0,553496.0,181089.0,877000.0,409757.0,875337.0,1344177.0,645237.0,198977.0,2918567.0,180954.0,414818.0,34578.0,49165.0,196253.0,140552.0,382130.0,5198793.0,11683.0
ME,1332813.0,739077.0,556955.0,161743.0,32203.0,463732.0,74426.0,259176.0,254661.0,209891.0,43108.0,88288.0,7081.0,36020.0,61323.0,8395.0,40732.0,36011.0,109641.0,1249624.0,2965.0
MI,9957488.0,4580939.0,3909509.0,1457008.0,321008.0,2231836.0,641536.0,1620944.0,2196098.0,1403640.0,346804.0,2468117.0,141495.0,397783.0,242072.0,64671.0,305124.0,229387.0,597044.0,9245855.0,25354.0
MN,5522047.0,2414451.0,2165102.0,546759.0,119144.0,2649287.0,262259.0,828699.0,1290791.0,591965.0,174723.0,1088533.0,110431.0,378894.0,80649.0,47961.0,148762.0,132786.0,254483.0,5095328.0,8400.0
MO,6083124.0,2772004.0,2393595.0,836875.0,155811.0,2710560.0,429625.0,980309.0,1383247.0,869916.0,212157.0,1241537.0,55585.0,226037.0,172051.0,41124.0,167251.0,174920.0,579164.0,5708843.0,14879.0
MS,2987434.0,1315529.0,1105092.0,599356.0,109979.0,1695429.0,316031.0,449264.0,720108.0,476475.0,125669.0,1290995.0,22875.0,60995.0,199828.0,29717.0,71786.0,96141.0,370247.0,2799929.0,7754.0
MT,1011907.0,486772.0,410350.0,135960.0,22126.0,1086650.0,46912.0,176574.0,221385.0,135342.0,28751.0,141176.0,2948.0,28574.0,52634.0,8543.0,21017.0,28438.0,102389.0,981848.0,2280.0
NC,10155624.0,4573066.0,3918597.0,1523949.0,312610.0,2541622.0,869866.0,1570998.0,2292616.0,1350533.0,362645.0,3722585.0,234263.0,393502.0,595468.0,90665.0,231826.0,272714.0,1100719.0,9384733.0,19222.0
ND,702475.0,338961.0,293828.0,73827.0,10971.0,1133354.0,33402.0,99219.0,162307.0,73211.0,22249.0,105657.0,4225.0,72594.0,23589.0,5958.0,15256.0,24470.0,49485.0,737875.0,1262.0
NE,1864197.0,807091.0,736241.0,209634.0,36125.0,1939297.0,108447.0,276255.0,463888.0,210469.0,62644.0,390308.0,47084.0,95048.0,26553.0,14753.0,39909.0,51063.0,154241.0,1811040.0,3445.0
NH,1343622.0,630955.0,528078.0,102352.0,30392.0,355402.0,67607.0,227984.0,262563.0,167644.0,38506.0,129075.0,12700.0,60250.0,35510.0,7626.0,27300.0,42580.0,86274.0,1242824.0,2786.0
NJ,8881845.0,3605401.0,3213362.0,904132.0,285084.0,844746.0,641113.0,1376863.0,1973402.0,913681.0,265858.0,3921840.0,518820.0,559793.0,34236.0,100995.0,367761.0,184786.0,743045.0,8234861.0,19047.0
NM,2089915.0,931150.0,774735.0,397863.0,66202.0,707288.0,205330.0,340908.0,493546.0,310795.0,79523.0,1302962.0,86223.0,60761.0,157865.0,27335.0,44971.0,42927.0,220238.0,1922670.0,3929.0
NV,2906475.0,1225382.0,1069149.0,391562.0,101154.0,350190.0,272845.0,433999.0,671621.0,365315.0,105518.0,1461173.0,166556.0,178852.0,63365.0,44329.0,81593.0,37027.0,342514.0,2588931.0,6366.0
