ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,Deaths
AK,668296.0,280935.0,232671.0,108543.0,23488.0,57837.0,28907.0,77229.0,78016.0,166811.0,77926.0,14022.0,9434.0,257006.0,22848.0,11523.0,14334.0,18444.0,21403.0,659540.0,57706.0,21862.0,49332.0,40713.0,79615.0,9942.0,52723.0,2819.0,834.0
AL,4893186.0,2270398.0,1888504.0,1234349.0,125343.0,450272.0,438947.0,455545.0,827434.0,1092912.0,778062.0,135232.0,46887.0,1701039.0,166932.0,296231.0,31447.0,111849.0,117179.0,4848456.0,767113.0,1292950.0,212951.0,67317.0,21297.0,1887.0,94858.0,9779.0,14739.0
AR,3011873.0,1379778.0,1170544.0,798280.0,71704.0,270183.0,260360.0,245980.0,510117.0,702832.0,520988.0,86714.0,45657.0,856774.0,89283.0,160888.0,32498.0,71868.0,83757.0,2983518.0,556657.0,455485.0,229629.0,45389.0,15912.0,10258.0,93127.0,6974.0,8621.0
AZ,7174064.0,3040595.0,2643430.0,1625454.0,199358.0,726913.0,587919.0,747778.0,1262204.0,1639645.0,935769.0,168805.0,294903.0,3290342.0,355570.0,313906.0,116503.0,153994.0,157934.0,7074572.0,797193.0,305973.0,2260690.0,233048.0,272294.0,13323.0,187561.0,17453.0,14196.0
CA,39341966.0,14206814.0,13101467.0,8063300.0,1228936.0,4160234.0,4286325.0,2805874.0,5643343.0,8955945.0,4146295.0,786474.0,3392765.0,24979977.0,2509344.0,515435.0,1075709.0,920293.0,824667.0,39531691.0,3351496.0,2142358.0,15380453.0,5743977.0,131366.0,135524.0,1322151.0,124148.0,66522.0
CO,5641639.0,2330122.0,2118005.0,909730.0,141844.0,590685.0,306445.0,431997.0,799336.0,1251433.0,598175.0,116559.0,144866.0,1838013.0,391167.0,89679.0,53948.0,105193.0,119142.0,5626442.0,426878.0,223989.0,1223839.0,177996.0,28747.0,7779.0,163482.0,12181.0,7963.0
CT,3570549.0,1521199.0,1385437.0,550656.0,116234.0,408148.0,225550.0,179066.0,615466.0,735584.0,398550.0,89327.0,128670.0,1212607.0,192059.0,11943.0,25527.0,118355.0,112075.0,3488565.0,307335.0,352036.0,587212.0,161787.0,4882.0,742.0,93146.0,12802.0,7110.0
DC,701974.0,319192.0,288307.0,142659.0,29290.0,78562.0,40811.0,25288.0,85912.0,126048.0,78625.0,20028.0,15671.0,444182.0,149343.0,396.0,10460.0,102173.0,38992.0,1169083.0,84541.0,312661.0,77981.0,28347.0,1298.0,283.0,20047.0,3565.0,1350.0
DE,967679.0,438438.0,370953.0,170178.0,28334.0,99817.0,63843.0,55571.0,182024.0,204207.0,126545.0,25099.0,18125.0,372443.0,43928.0,34126.0,6026.0,21786.0,24952.0,1002985.0,94351.0,208126.0,91350.0,38249.0,2836.0,290.0,28088.0,3504.0,2171.0
FL,21216924.0,9562324.0,7931313.0,4749614.0,556113.0,2537519.0,1751798.0,2646931.0,4347912.0,4214444.0,2840938.0,484759.0,1276274.0,9885702.0,1850744.0,831641.0,235731.0,485183.0,431523.0,21141743.0,2488195.0,3231108.0,5468826.0,579476.0,39070.0,10889.0,465441.0,90892.0,49287.0
