,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths
35039,39307.0,20044.0,12398.0,-999.0,-999.0,-999.0,3669.0,7083.0,9318.0,6280.0,1330.0,34397.0,755.0,67.0,7770.0,264.0,763.0,654.0,4160.0,32290.0,64.0
1001,55200.0,23315.0,21115.0,8422.0,1065.0,29372.0,4204.0,8050.0,13369.0,10465.0,1586.0,13788.0,426.0,886.0,4279.0,299.0,1191.0,546.0,3875.0,37301.0,126.0
1009,57645.0,24222.0,20600.0,8220.0,909.0,22656.0,7861.0,10233.0,13468.0,8114.0,1437.0,7413.0,934.0,211.0,6108.0,339.0,856.0,543.0,6303.0,40036.0,179.0
1013,20025.0,10026.0,6708.0,4640.0,567.0,20430.0,2141.0,3806.0,4566.0,3492.0,704.0,9641.0,93.0,134.0,2625.0,119.0,520.0,322.0,2005.0,17280.0,78.0
1015,115098.0,53682.0,45033.0,20819.0,4628.0,24706.0,12620.0,19386.0,25196.0,23598.0,4701.0,31675.0,1076.0,1990.0,7904.0,772.0,2599.0,3112.0,10686.0,117894.0,477.0
1017,33826.0,16981.0,13516.0,5531.0,773.0,22827.0,4383.0,6409.0,7006.0,5570.0,1307.0,14954.0,36.0,679.0,2378.0,404.0,989.0,512.0,3613.0,27176.0,84.0
1031,51288.0,23088.0,19789.0,7604.0,1371.0,27577.0,4833.0,8375.0,12161.0,8788.0,1928.0,15065.0,664.0,215.0,3140.0,272.0,1189.0,601.0,5004.0,44908.0,182.0
1033,54495.0,26466.0,21799.0,8785.0,1397.0,24918.0,6016.0,10502.0,11608.0,10086.0,1791.0,11630.0,175.0,587.0,2455.0,83.0,1322.0,436.0,4353.0,56580.0,212.0
1039,37351.0,18907.0,15008.0,6702.0,1428.0,23071.0,4530.0,7650.0,8190.0,7703.0,1358.0,6205.0,129.0,249.0,4081.0,320.0,785.0,666.0,4116.0,35253.0,172.0
1043,82313.0,37652.0,30730.0,12831.0,1903.0,22980.0,10405.0,14803.0,18572.0,14310.0,2057.0,6487.0,447.0,959.0,8615.0,555.0,1279.0,1200.0,9631.0,76993.0,294.0
1045,49255.0,23065.0,18670.0,8798.0,1738.0,23837.0,4732.0,7939.0,11506.0,9906.0,1538.0,15250.0,461.0,277.0,4200.0,313.0,1023.0,1263.0,5274.0,47664.0,117.0
